"site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","yes_date","yeartype","water_year","dowy","summer_year","dosy","phenophase","functional_type","first_yes","year"
9,43.097801,-87.892998,201,"WI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",14,206,"Full flowering (lilac)",2009,5,24,144,2454976,2,2009,6,7,158,2454990,2,2009-05-24,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",144,2009
9,43.097801,-87.892998,201,"WI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",14,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,19,109,2454941,1,2009,4,25,115,2454947,2,2009-04-19,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",109,2009
9,43.097801,-87.892998,201,"WI",20,"Lonicera","tatarica-arnoldred","Arnold Red honeysuckle","Plantae",15,210,"Open flowers (honeysuckle)",2009,5,16,136,2454968,5,2009,6,7,158,2454990,2,2009-05-16,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",136,2009
9,43.097801,-87.892998,201,"WI",20,"Lonicera","tatarica-arnoldred","Arnold Red honeysuckle","Plantae",15,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,9,99,2454931,1,2009,4,20,110,2454942,4,2009-04-09,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",99,2009
9,43.097801,-87.892998,201,"WI",20,"Lonicera","tatarica-arnoldred","Arnold Red honeysuckle","Plantae",16,210,"Open flowers (honeysuckle)",2009,5,16,136,2454968,5,2009,6,7,158,2454990,2,2009-05-16,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",136,2009
9,43.097801,-87.892998,201,"WI",20,"Lonicera","tatarica-arnoldred","Arnold Red honeysuckle","Plantae",16,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,9,99,2454931,1,2009,4,20,110,2454942,4,2009-04-09,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",99,2009
9,43.097801,-87.892998,201,"WI",20,"Lonicera","tatarica-arnoldred","Arnold Red honeysuckle","Plantae",17,210,"Open flowers (honeysuckle)",2009,5,16,136,2454968,5,2009,6,7,158,2454990,2,2009-05-16,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",136,2009
9,43.097801,-87.892998,201,"WI",20,"Lonicera","tatarica-arnoldred","Arnold Red honeysuckle","Plantae",17,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,9,99,2454931,1,2009,4,20,110,2454942,4,2009-04-09,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",99,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",56,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,16,106,2454938,2,2009,4,24,114,2454946,1,2009-04-16,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",106,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",57,205,"Open flowers (lilac)",2009,5,17,137,2454969,1,2009,6,2,153,2454985,3,2009-05-17,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",137,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",57,206,"Full flowering (lilac)",2009,5,21,141,2454973,1,2009,6,2,153,2454985,3,2009-05-21,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",141,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",57,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,9,99,2454931,1,2009,4,20,110,2454942,4,2009-04-09,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",99,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",58,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,10,100,2454932,1,2009,4,20,110,2454942,4,2009-04-10,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",100,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",59,205,"Open flowers (lilac)",2009,5,20,140,2454972,3,2009,6,5,156,2454988,2,2009-05-20,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",140,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",59,206,"Full flowering (lilac)",2009,5,21,141,2454973,1,2009,6,5,156,2454988,2,2009-05-21,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",141,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",59,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,10,100,2454932,1,2009,4,20,110,2454942,4,2009-04-10,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",100,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",60,205,"Open flowers (lilac)",2009,5,17,137,2454969,1,2009,6,2,153,2454985,3,2009-05-17,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",137,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",60,206,"Full flowering (lilac)",2009,5,20,140,2454972,3,2009,6,2,153,2454985,3,2009-05-20,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",140,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",60,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,23,113,2454945,1,2009,4,25,115,2454947,2,2009-04-23,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",113,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",61,205,"Open flowers (lilac)",2009,5,20,140,2454972,3,2009,6,9,160,2454992,1,2009-05-20,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",140,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",61,206,"Full flowering (lilac)",2009,5,24,144,2454976,2,2009,6,9,160,2454992,1,2009-05-24,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",144,2009
9,43.097801,-87.892998,201,"WI",36,"Syringa","vulgaris","common lilac","Plantae",61,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,17,107,2454939,1,2009,4,24,114,2454946,1,2009-04-17,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",107,2009
101,37.169998,-98.029999,417,"KS",36,"Syringa","vulgaris","common lilac","Plantae",430,205,"Open flowers (lilac)",2009,4,19,109,2454941,11,2009,4,19,109,2454941,4,2009-04-19,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",109,2009
101,37.169998,-98.029999,417,"KS",36,"Syringa","vulgaris","common lilac","Plantae",430,206,"Full flowering (lilac)",2009,4,23,113,2454945,4,2009,5,1,121,2454953,9,2009-04-23,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",113,2009
101,37.169998,-98.029999,417,"KS",36,"Syringa","vulgaris","common lilac","Plantae",430,373,"Breaking leaf buds (lilac/honeysuckle)",2009,3,11,70,2454902,4,2009,4,19,109,2454941,4,2009-03-11,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",70,2009
2,43.08535,-70.69133,12,"ME",73,"Forsythia","spp.","forsythia","Plantae",519,371,"Breaking leaf buds",2009,5,2,122,2454954,13,2009,5,2,122,2454954,36,2009-05-02,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",122,2009
2,43.08535,-70.69133,12,"ME",73,"Forsythia","spp.","forsythia","Plantae",519,501,"Open flowers",2009,4,19,109,2454941,2,2009,5,11,131,2454963,4,2009-04-19,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",109,2009
2,43.08535,-70.69133,12,"ME",36,"Syringa","vulgaris","common lilac","Plantae",521,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,16,106,2454938,1,2009,4,19,109,2454941,30,2009-04-16,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",106,2009
459,36.524502,-92.751999,234,"MO",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",633,373,"Breaking leaf buds (lilac/honeysuckle)",2009,2,28,59,2454891,NA,2009,3,26,85,2454917,NA,2009-02-28,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",59,2009
459,36.524502,-92.751999,234,"MO",36,"Syringa","vulgaris","common lilac","Plantae",634,205,"Open flowers (lilac)",2009,4,12,102,2454934,17,2009,5,1,121,2454953,95,2009-04-12,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",102,2009
459,36.524502,-92.751999,234,"MO",36,"Syringa","vulgaris","common lilac","Plantae",634,373,"Breaking leaf buds (lilac/honeysuckle)",2009,3,6,65,2454897,NA,2009,5,1,121,2454953,95,2009-03-06,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",65,2009
459,36.524502,-92.751999,234,"MO",12,"Cornus","florida","flowering dogwood","Plantae",637,501,"Open flowers",2009,3,26,85,2454917,7,2009,4,12,102,2454934,9,2009-03-26,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",85,2009
459,36.524502,-92.751999,234,"MO",3,"Acer","rubrum","red maple","Plantae",638,371,"Breaking leaf buds",2009,3,6,65,2454897,NA,2009,5,1,121,2454953,NA,2009-03-06,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",65,2009
459,36.524502,-92.751999,234,"MO",3,"Acer","rubrum","red maple","Plantae",638,501,"Open flowers",2009,3,6,65,2454897,NA,2009,5,1,121,2454953,NA,2009-03-06,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",65,2009
613,36.080002,-86.833,218,"TN",36,"Syringa","vulgaris","common lilac","Plantae",639,373,"Breaking leaf buds (lilac/honeysuckle)",2009,3,3,62,2454894,NA,2009,3,3,62,2454894,NA,2009-03-03,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",62,2009
119,43.722694,-83.057693,233,"MI",36,"Syringa","vulgaris","common lilac","Plantae",896,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,15,105,2454937,1,2009,4,30,120,2454952,NA,2009-04-15,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",105,2009
119,43.722694,-83.057693,233,"MI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",897,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,19,109,2454941,1,2009,4,30,120,2454952,NA,2009-04-19,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",109,2009
119,43.722694,-83.057693,233,"MI",20,"Lonicera","tatarica-arnoldred","Arnold Red honeysuckle","Plantae",898,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,19,109,2454941,1,2009,4,30,120,2454952,NA,2009-04-19,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",109,2009
418,38.888126,-76.553368,13,"MD",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",946,373,"Breaking leaf buds (lilac/honeysuckle)",2009,3,9,68,2454900,NA,2009,3,19,78,2454910,4,2009-03-09,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",68,2009
418,38.888126,-76.553368,13,"MD",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",947,373,"Breaking leaf buds (lilac/honeysuckle)",2009,3,9,68,2454900,NA,2009,3,19,78,2454910,4,2009-03-09,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",68,2009
965,36.109207,-79.220932,215,"NC",88,"Prunus","persica","peach","Plantae",962,371,"Breaking leaf buds",2009,3,7,66,2454898,NA,2009,3,7,66,2454898,30,2009-03-07,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",66,2009
119,43.722694,-83.057693,233,"MI",20,"Lonicera","tatarica-arnoldred","Arnold Red honeysuckle","Plantae",1183,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,19,109,2454941,1,2009,4,30,120,2454952,NA,2009-04-19,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",109,2009
119,43.722694,-83.057693,233,"MI",36,"Syringa","vulgaris","common lilac","Plantae",1184,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,15,105,2454937,1,2009,4,30,120,2454952,NA,2009-04-15,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",105,2009
119,43.722694,-83.057693,233,"MI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1185,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,19,109,2454941,1,2009,4,30,120,2454952,NA,2009-04-19,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",109,2009
459,36.524502,-92.751999,234,"MO",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1270,373,"Breaking leaf buds (lilac/honeysuckle)",2009,2,28,59,2454891,NA,2009,3,26,85,2454917,NA,2009-02-28,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",59,2009
459,36.524502,-92.751999,234,"MO",36,"Syringa","vulgaris","common lilac","Plantae",1271,205,"Open flowers (lilac)",2009,3,26,85,2454917,4,2009,10,27,300,2455132,NA,2009-03-26,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",85,2009
459,36.524502,-92.751999,234,"MO",36,"Syringa","vulgaris","common lilac","Plantae",1271,206,"Full flowering (lilac)",2009,4,1,91,2454923,6,2009,4,12,102,2454934,NA,2009-04-01,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",91,2009
459,36.524502,-92.751999,234,"MO",36,"Syringa","vulgaris","common lilac","Plantae",1271,373,"Breaking leaf buds (lilac/honeysuckle)",2009,3,8,67,2454899,NA,2009,4,12,102,2454934,NA,2009-03-08,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",67,2009
1109,44.750778,-108.767281,1344,"WY",75,"Fraxinus","pennsylvanica","green ash","Plantae",1385,371,"Breaking leaf buds",2009,5,10,130,2454962,1,2009,5,20,140,2454972,1,2009-05-10,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",130,2009
1109,44.750778,-108.767281,1344,"WY",75,"Fraxinus","pennsylvanica","green ash","Plantae",1385,501,"Open flowers",2009,5,4,124,2454956,1,2009,5,16,136,2454968,1,2009-05-04,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",124,2009
1109,44.750778,-108.767281,1344,"WY",29,"Prunus","virginiana","chokecherry","Plantae",1386,371,"Breaking leaf buds",2009,4,12,102,2454934,2,2009,5,15,135,2454967,1,2009-04-12,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",102,2009
1109,44.750778,-108.767281,1344,"WY",29,"Prunus","virginiana","chokecherry","Plantae",1386,390,"Ripe fruits",2009,7,27,208,2455040,5,2009,9,7,250,2455082,7,2009-07-27,"calendar",NA,NA,NA,NA,"Ripe fruits","Deciduous broadleaf",208,2009
1109,44.750778,-108.767281,1344,"WY",29,"Prunus","virginiana","chokecherry","Plantae",1386,501,"Open flowers",2009,5,18,138,2454970,1,2009,5,27,147,2454979,1,2009-05-18,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",138,2009
1109,44.750778,-108.767281,1344,"WY",36,"Syringa","vulgaris","common lilac","Plantae",1387,205,"Open flowers (lilac)",2009,5,17,137,2454969,1,2009,6,2,153,2454985,1,2009-05-17,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",137,2009
1109,44.750778,-108.767281,1344,"WY",36,"Syringa","vulgaris","common lilac","Plantae",1387,206,"Full flowering (lilac)",2009,5,21,141,2454973,1,2009,6,1,152,2454984,1,2009-05-21,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",141,2009
1109,44.750778,-108.767281,1344,"WY",36,"Syringa","vulgaris","common lilac","Plantae",1387,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,18,108,2454940,2,2009,4,22,112,2454944,1,2009-04-18,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",108,2009
193,40.005478,-78.384766,312,"PA",36,"Syringa","vulgaris","common lilac","Plantae",1489,205,"Open flowers (lilac)",2009,4,23,113,2454945,21,2009,4,23,113,2454945,5,2009-04-23,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",113,2009
193,40.005478,-78.384766,312,"PA",36,"Syringa","vulgaris","common lilac","Plantae",1489,373,"Breaking leaf buds (lilac/honeysuckle)",2009,3,23,82,2454914,NA,2009,3,23,82,2454914,10,2009-03-23,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",82,2009
193,40.005478,-78.384766,312,"PA",36,"Syringa","vulgaris","common lilac","Plantae",1490,205,"Open flowers (lilac)",2009,4,23,113,2454945,21,2009,4,23,113,2454945,5,2009-04-23,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",113,2009
193,40.005478,-78.384766,312,"PA",36,"Syringa","vulgaris","common lilac","Plantae",1490,373,"Breaking leaf buds (lilac/honeysuckle)",2009,3,23,82,2454914,NA,2009,3,23,82,2454914,10,2009-03-23,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",82,2009
1255,38.970875,-77.131508,74,"MD",79,"Fagus","grandifolia","American beech","Plantae",1804,371,"Breaking leaf buds",2009,4,25,115,2454947,15,2009,4,28,118,2454950,NA,2009-04-25,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",115,2009
1274,47.754948,-122.357971,98,"WA",107,"Ceanothus","velutinus","snowbrush ceanothus","Plantae",1846,501,"Open flowers",2009,6,1,152,2454984,7,2009,6,8,159,2454991,7,2009-06-01,"calendar",NA,NA,NA,NA,"Open flowers","Evergreen broadleaf",152,2009
1274,47.754948,-122.357971,98,"WA",29,"Prunus","virginiana","chokecherry","Plantae",1848,371,"Breaking leaf buds",2009,4,20,110,2454942,14,2009,5,25,145,2454977,7,2009-04-20,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",110,2009
1274,47.754948,-122.357971,98,"WA",29,"Prunus","virginiana","chokecherry","Plantae",1848,501,"Open flowers",2009,6,1,152,2454984,7,2009,6,1,152,2454984,7,2009-06-01,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",152,2009
1274,47.754948,-122.357971,98,"WA",92,"Symphoricarpos","albus","common snowberry","Plantae",1849,371,"Breaking leaf buds",2009,3,23,82,2454914,7,2009,6,1,152,2454984,7,2009-03-23,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",82,2009
1274,47.754948,-122.357971,98,"WA",92,"Symphoricarpos","albus","common snowberry","Plantae",1849,501,"Open flowers",2009,8,3,215,2455047,7,2009,8,24,236,2455068,7,2009-08-03,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",215,2009
178,42.450108,-76.467155,254,"NY",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1850,205,"Open flowers (lilac)",2009,5,9,129,2454961,NA,2009,5,13,133,2454965,NA,2009-05-09,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",129,2009
178,42.450108,-76.467155,254,"NY",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1850,206,"Full flowering (lilac)",2009,5,13,133,2454965,NA,2009,5,13,133,2454965,NA,2009-05-13,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",133,2009
178,42.450108,-76.467155,254,"NY",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1850,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,7,97,2454929,NA,2009,5,13,133,2454965,NA,2009-04-07,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",97,2009
178,42.450108,-76.467155,254,"NY",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1851,205,"Open flowers (lilac)",2009,5,9,129,2454961,NA,2009,5,13,133,2454965,14,2009-05-09,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",129,2009
178,42.450108,-76.467155,254,"NY",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1851,206,"Full flowering (lilac)",2009,5,13,133,2454965,NA,2009,5,13,133,2454965,14,2009-05-13,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",133,2009
178,42.450108,-76.467155,254,"NY",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1851,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,7,97,2454929,NA,2009,5,13,133,2454965,14,2009-04-07,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",97,2009
178,42.450108,-76.467155,254,"NY",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1852,205,"Open flowers (lilac)",2009,5,9,129,2454961,NA,2009,5,12,132,2454964,15,2009-05-09,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",129,2009
178,42.450108,-76.467155,254,"NY",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1852,206,"Full flowering (lilac)",2009,5,12,132,2454964,NA,2009,5,12,132,2454964,15,2009-05-12,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",132,2009
178,42.450108,-76.467155,254,"NY",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1852,373,"Breaking leaf buds (lilac/honeysuckle)",2009,4,7,97,2454929,NA,2009,5,12,132,2454964,15,2009-04-07,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",97,2009
126,43.655094,-83.246109,227,"MI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1913,205,"Open flowers (lilac)",2009,5,14,134,2454966,1,2009,5,29,149,2454981,1,2009-05-14,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",134,2009
126,43.655094,-83.246109,227,"MI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1913,206,"Full flowering (lilac)",2009,5,17,137,2454969,1,2009,5,29,149,2454981,1,2009-05-17,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",137,2009
126,43.655094,-83.246109,227,"MI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1913,373,"Breaking leaf buds (lilac/honeysuckle)",2009,3,26,85,2454917,1,2009,4,19,109,2454941,1,2009-03-26,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",85,2009
126,43.655094,-83.246109,227,"MI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1914,205,"Open flowers (lilac)",2009,5,14,134,2454966,1,2009,5,31,151,2454983,1,2009-05-14,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",134,2009
126,43.655094,-83.246109,227,"MI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1914,206,"Full flowering (lilac)",2009,5,17,137,2454969,1,2009,5,31,151,2454983,1,2009-05-17,"calendar",NA,NA,NA,NA,"Open flowers","Deciduous broadleaf",137,2009
126,43.655094,-83.246109,227,"MI",35,"Syringa","chinensis","Red Rothomagensis lilac","Plantae",1914,373,"Breaking leaf buds (lilac/honeysuckle)",2009,3,26,85,2454917,1,2009,4,19,109,2454941,1,2009-03-26,"calendar",NA,NA,NA,NA,"Leaf budburst","Deciduous broadleaf",85,2009
